x,y,z
77.4154,-10.1731,-0.998039
75.671,-18.6372,24.5861
82.7623,17.3618,31.6993
63.2295,-47.9544,17.7503
55.5948,-63.2729,-7.98839
82.6625,46.647,-2.54256
61.6572,-21.9739,53.566
80.9095,50.5157,36.5227
31.2172,-76.2594,26.8269
66.1496,45.1136,68.937
25.5954,-55.9,62.3219
29.334,-26.3829,81.3141
67.3856,80.1104,33.9149
30.4415,4.68522,92.2442
2.58083,-88.8265,-9.07379
-3.24046,-83.9152,31.5307
55.4597,98.8941,16.8349
32.0115,44.4766,94.9192
-3.46552,-33.0713,84.7442
29.5302,74.4501,84.8054
33.3129,101.217,50.501
-33.9358,-77.851,22.3951
-30.0057,-57.5017,59.0282
-1.05597,44.1893,102.629
-37.0957,-27.9012,76.1507
-4.44173,101.982,57.5362
-52.5085,-67.7561,-9.16727
-35.4958,4.73322,89.539
-1.74324,115.879,22.8481
-36.2479,40.8237,93.1875
-62.3397,-50.8464,15.4036
-34.3931,75.4659,80.4807
-62.9884,-28.062,52.0228
-38.9883,98.4507,48.7522
-77.8432,-18.6583,24.779
-66.1514,42.9264,70.4002
-79.4558,-13.2299,-4.35417
-57.4596,96.0758,15.5656
-83.2799,10.3972,32.3841
-67.2408,77.0652,36.6926
-81.0604,45.9389,36.8739
-83.2707,46.9742,1.44236
83.6258,18.4398,-5.46317
69.4917,-40.2141,-4.5766
47.2583,-54.759,42.5717
66.1059,9.83903,65.1814
30.7645,-83.1189,-8.04327
73.1594,75.8397,7.41148
53.1109,79.598,63.4153
0.182288,-62.5015,64.6985
-28.9256,-85.0155,-10.7948
25.6879,114.043,20.6712
-1.98493,78.7848,86.781
-48.5942,-58.1751,39.2769
-70.2879,-40.3782,-6.98093
-33.4644,110.398,23.6985
-69.8727,5.89567,60.9203
-56.353,75.4008,62.1542
-86.52,18.4821,-3.83037
-74.5871,70.2076,7.67806
-1.70729,2.98381,99.2213
